id,canonical_name,primary_category,secondary_category,vlm_type_norm,material_type_norm,absorption_level,alpha_mid,alpha_high,source_group,source_material_name,a125,a250,a500,a1000,a2000,a4000,a8000
curtains_cotton_0.5,cotton curtains (0.5 kg/m2) draped to 3/4 area approx. 130 mm from wall,Fabric & Soft Material,fabric_textile_absorber,curtain_blind_textile,fabric_textile_absorber,highly_absorptive,0.6,0.67,pyroom,curtains_cotton_0.5,0.3,0.45,0.65,0.56,0.59,0.71,0.71
curtains_0.2,curtains (0.2 kg/m2) hung 90 mm from wall,Fabric & Soft Material,fabric_textile_absorber,curtain_blind_textile,fabric_textile_absorber,absorptive,0.5733,0.72,pyroom,curtains_0.2,0.05,0.06,0.39,0.63,0.7,0.73,0.73
curtains_cotton_0.33,cotton cloth (0.33 kg/m2) folded to 7/8 area,Fabric & Soft Material,fabric_textile_absorber,curtain_blind_textile,fabric_textile_absorber,semi_reflective,0.2633,0.395,pyroom,curtains_cotton_0.33,0.03,0.12,0.15,0.27,0.37,0.42,0.0
curtains_densely_woven,densely woven window curtains 90 mm from wall,Fabric & Soft Material,fabric_textile_absorber,curtain_blind_textile,fabric_textile_absorber,absorptive,0.57,0.715,pyroom,curtains_densely_woven,0.06,0.1,0.38,0.63,0.7,0.73,0.0
window_door_blinds_half_open,"vertical blinds, 15 cm from wall, half opened (45°)",Fabric & Soft Material,fabric_textile_absorber,curtain_blind_textile,fabric_textile_absorber,absorptive,0.4967,0.775,pyroom,blinds_half_open,0.03,0.09,0.24,0.46,0.79,0.76,0.0
window_door_blinds_open,"vertical blinds, 15 cm from wall, open (90°)",Fabric & Soft Material,fabric_textile_absorber,curtain_blind_textile,fabric_textile_absorber,absorptive,0.3,0.525,pyroom,blinds_open,0.03,0.06,0.13,0.28,0.49,0.56,0.0
curtains_velvet,tight velvet curtains,Fabric & Soft Material,fabric_textile_absorber,curtain_blind_textile,fabric_textile_absorber,absorptive,0.3933,0.3667,pyroom,curtains_velvet,0.05,0.12,0.35,0.45,0.38,0.36,0.36
curtains_fabric,"curtain fabric, 15 cm from wall",Fabric & Soft Material,fabric_textile_absorber,curtain_blind_textile,fabric_textile_absorber,absorptive,0.5667,0.6,pyroom,curtains_fabric,0.1,0.38,0.63,0.52,0.55,0.65,0.0
curtains_fabric_folded,"curtain fabric, folded, 15 cm from wall",Fabric & Soft Material,fabric_textile_absorber,curtain_blind_textile,fabric_textile_absorber,highly_absorptive,0.9933,1.0,pyroom,curtains_fabric_folded,0.12,0.6,0.98,1.0,1.0,1.0,1.0
curtains_glass_mat,curtains of close-woven glass mat hung 50 mm from wall,Fabric & Soft Material,fabric_textile_absorber,curtain_blind_textile,fabric_textile_absorber,absorptive,0.35,0.5,pyroom,curtains_glass_mat,0.03,0.03,0.15,0.4,0.5,0.5,0.5
window_door_studio_curtains,"studio curtains, 22 cm from wall",Fabric & Soft Material,fabric_textile_absorber,curtain_blind_textile,fabric_textile_absorber,absorptive,0.5267,0.69,pyroom,studio_curtains,0.36,0.26,0.51,0.45,0.62,0.76,0.0
chairs_wooden,wooden chairs without cushion,Furniture,wood_panel,soft_furniture,wood_panel,semi_reflective,0.1133,0.12,pyroom,chairs_wooden,0.05,0.08,0.1,0.12,0.12,0.12,0.0
chairs_unoccupied_plastic,unoccupied plastic chairs,Furniture,upholstered_absorber,hard_furniture,upholstered_absorber,semi_reflective,0.2,0.2333,pyroom,chairs_unoccupied_plastic,0.06,0.1,0.1,0.2,0.3,0.2,0.2
chairs_medium_upholstered,"medium upholstered concert chairs, empty",Furniture,upholstered_absorber,hard_furniture,upholstered_absorber,highly_absorptive,0.8333,0.76,pyroom,chairs_medium_upholstered,0.49,0.66,0.8,0.88,0.82,0.7,0.0
chairs_heavy_upholstered,"heavily upholstered seats, unoccupied",Furniture,upholstered_absorber,hard_furniture,upholstered_absorber,highly_absorptive,0.83,0.825,pyroom,chairs_heavy_upholstered,0.7,0.76,0.81,0.84,0.84,0.81,0.0
chairs_upholstered_cloth,"empty chairs, upholstered with cloth cover",Furniture,upholstered_absorber,hard_furniture,upholstered_absorber,highly_absorptive,0.8267,0.74,pyroom,chairs_upholstered_cloth,0.44,0.6,0.77,0.89,0.82,0.7,0.7
chairs_upholstered_leather,"empty chairs, upholstered with leather cover",Furniture,upholstered_absorber,hard_furniture,upholstered_absorber,absorptive,0.59,0.5267,pyroom,chairs_upholstered_leather,0.4,0.5,0.58,0.61,0.58,0.5,0.5
chairs_upholstered_moderate,"unoccupied, moderately upholstered chairs (0.90 m × 0.55 m)",Furniture,upholstered_absorber,soft_furniture,upholstered_absorber,highly_absorptive,0.7467,0.85,pyroom,chairs_upholstered_moderate,0.44,0.56,0.67,0.74,0.83,0.87,0.0
audience_orchestra_choir,"areas with audience, orchestra or choir including narrow aisles",Human & Crowd,human_audience_absorber,human_audience,human_audience_absorber,highly_absorptive,0.9233,0.8767,pyroom,audience_orchestra_choir,0.6,0.74,0.88,0.96,0.93,0.85,0.85
audience_wooden_chairs_1_m2,"audience on wooden chairs, 1 per m2",Human & Crowd,human_audience_absorber,human_audience,human_audience_absorber,highly_absorptive,0.6867,0.79,pyroom,audience_wooden_chairs_1_m2,0.16,0.24,0.56,0.69,0.81,0.78,0.78
audience_wooden_chairs_2_m2,"audience on wooden chairs, 2 per m2",Human & Crowd,human_audience_absorber,human_audience,human_audience_absorber,highly_absorptive,0.9067,0.9,pyroom,audience_wooden_chairs_2_m2,0.24,0.4,0.78,0.98,0.96,0.87,0.87
human_orchestra_1.5_m2,"orchestra with instruments on podium, 1.5 m2 per person",Human & Crowd,human_audience_absorber,human_audience,human_audience_absorber,highly_absorptive,0.8233,0.8233,pyroom,orchestra_1.5_m2,0.27,0.53,0.67,0.93,0.87,0.8,0.8
audience_0.72_m2,"audience area, 0.72 persons / m2",Human & Crowd,human_audience_absorber,human_audience,human_audience_absorber,highly_absorptive,0.6033,0.73,pyroom,audience_0.72_m2,0.1,0.21,0.41,0.65,0.75,0.71,0.0
audience_1_m2,"audience area, 1 person / m2",Human & Crowd,human_audience_absorber,human_audience,human_audience_absorber,highly_absorptive,0.7567,0.91,pyroom,audience_1_m2,0.16,0.29,0.55,0.8,0.92,0.9,0.0
audience_1.5_m2,"audience area, 1.5 persons / m2",Human & Crowd,human_audience_absorber,human_audience,human_audience_absorber,highly_absorptive,0.8833,0.99,pyroom,audience_1.5_m2,0.22,0.38,0.71,0.95,0.99,0.99,0.0
audience_2_m2,"audience area, 2 persons / m2",Human & Crowd,human_audience_absorber,human_audience,human_audience_absorber,highly_absorptive,0.95,0.99,pyroom,audience_2_m2,0.26,0.46,0.87,0.99,0.99,0.99,0.0
audience_upholstered_chairs_1,"audience in moderately upholstered chairs 0,85 m × 0,63 m",Human & Crowd,human_audience_absorber,human_audience,human_audience_absorber,highly_absorptive,0.9267,0.905,pyroom,audience_upholstered_chairs_1,0.72,0.82,0.91,0.93,0.94,0.87,0.0
audience_upholstered_chairs_2,"audience in moderately upholstered chairs 0,90 m × 0,55 m",Human & Crowd,human_audience_absorber,human_audience,human_audience_absorber,highly_absorptive,0.8667,0.885,pyroom,audience_upholstered_chairs_2,0.55,0.86,0.83,0.87,0.9,0.87,0.0
panel_fabric_covered_6pcf,"fabric-covered panel, 6 pcf rockwool core",Wall,fabric_textile_absorber,wall,fabric_textile_absorber,highly_absorptive,1.0,1.0,pyroom,panel_fabric_covered_6pcf,0.46,0.93,1.0,1.0,1.0,1.0,1.0
panel_fabric_covered_8pcf,"fabric-covered panel, 8 pcf rockwool core",Wall,fabric_textile_absorber,wall,fabric_textile_absorber,highly_absorptive,0.99,0.9767,pyroom,panel_fabric_covered_8pcf,0.21,0.66,1.0,1.0,0.97,0.98,0.98
acoustic_treatment_facing_brick,"facing-brick brickwork, open butt joins, brick dimensions 230 × 50 × 55 mm",Wall,hard_masonry_reflective,wall,hard_masonry_reflective,absorptive,0.3833,0.335,pyroom,facing_brick,0.04,0.14,0.49,0.35,0.31,0.36,0.0
acoustic_treatment_acoustical_plaster_25mm,"acoustical plaster, approx. 25 mm thick, 3.5 kg/m2/cm",Wall,hard_masonry_reflective,wall,hard_masonry_reflective,highly_absorptive,0.6433,0.65,pyroom,acoustical_plaster_25mm,0.17,0.36,0.66,0.65,0.62,0.68,0.0
rockwool_50mm_80kgm3,"rockwool thickness = 50 mm, 80 kg/m3",Wall,porous_fiber_absorber,wall,porous_fiber_absorber,highly_absorptive,0.9,0.88,pyroom,rockwool_50mm_80kgm3,0.22,0.6,0.92,0.9,0.88,0.88,0.88
rockwool_50mm_40kgm3,"rockwool thickness = 50 mm, 40 kg/m3",Wall,porous_fiber_absorber,wall,porous_fiber_absorber,highly_absorptive,0.86,0.86,pyroom,rockwool_50mm_40kgm3,0.23,0.59,0.86,0.86,0.86,0.86,0.86
mineral_wool_50mm_40kgm3,"50 mm mineral wool (40 kg/m3), glued to wall, untreated surface",Wall,porous_fiber_absorber,wall,porous_fiber_absorber,highly_absorptive,0.6833,0.8833,pyroom,mineral_wool_50mm_40kgm3,0.15,0.7,0.6,0.6,0.85,0.9,0.9
mineral_wool_50mm_70kgm3,50 mm mineral wool (70 kg/m3) 300 mm in front of wall,Wall,porous_fiber_absorber,wall,porous_fiber_absorber,highly_absorptive,0.6667,0.6833,pyroom,mineral_wool_50mm_70kgm3,0.7,0.45,0.65,0.6,0.75,0.65,0.65
acoustic_treatment_gypsum_board,"gypsum board, perforation 19.6%, hole diameter 15 mm, backed by fibrous web 12 Rayl, 100 mm cavity filled with mineral fibre mat 1,05 kg/m2, 7,5 Rayl",Floor,carpet_floor_absorber,floor,carpet_floor_absorber,highly_absorptive,0.8233,0.64,pyroom,gypsum_board,0.3,0.69,1.0,0.81,0.66,0.62,0.0
acoustic_treatment_perforated_veneered_chipboard,"perforated veneered chipboard, 50 mm, 1 mm holes, 3 mm spacing, 9% hole surface ratio, 150 mm cavity filled with 30 mm mineral wool",Wall,porous_fiber_absorber,wall,porous_fiber_absorber,highly_absorptive,0.6167,0.515,pyroom,perforated_veneered_chipboard,0.41,0.67,0.58,0.59,0.68,0.35,0.0
fibre_absorber_1,"fibre absorber, mineral fibre, 20 mm thick, 3.4 kg/m2, 50 mm cavity",Wall,porous_fiber_absorber,wall,porous_fiber_absorber,highly_absorptive,0.7967,0.615,pyroom,fibre_absorber_1,0.2,0.56,0.82,0.87,0.7,0.53,0.0
fibre_absorber_2,"fibre absorber, mats of porous flexible fibrous web fabric, self-extinguishing",Floor,carpet_floor_absorber,floor,carpet_floor_absorber,absorptive,0.4533,0.86,pyroom,fibre_absorber_2,0.07,0.07,0.2,0.41,0.75,0.97,0.0
ceiling_plasterboard,plasterboard ceiling on battens with large air-space above,Ceiling,thin_panel_resonant,ceiling,thin_panel_resonant,reflective,0.0733,0.03,pyroom,ceiling_plasterboard,0.2,0.15,0.1,0.08,0.04,0.02,0.0
ceiling_fibre_abosrber,"fibre absorber on perforated sheet metal cartridge, 0,5 mm zinc-plated steel, 1.5 mm hole diameter, 200 mm cavity filled with 20 mm mineral wool (20 kg/m3), inflammable",Ceiling,porous_fiber_absorber,ceiling,porous_fiber_absorber,highly_absorptive,0.99,1.0,pyroom,ceiling_fibre_abosrber,0.48,0.97,1.0,0.97,1.0,1.0,1.0
ceiling_fissured_tile,fissured ceiling tile,Ceiling,acoustic_ceiling_panel,ceiling,acoustic_ceiling_panel,highly_absorptive,0.7333,0.955,pyroom,ceiling_fissured_tile,0.49,0.53,0.53,0.75,0.92,0.99,0.0
ceiling_perforated_gypsum_board,"perforated 27 mm gypsum board (16%), d = 4,5 mm, 300 mm from ceiling",Ceiling,perforated_panel_absorber,ceiling,perforated_panel_absorber,highly_absorptive,0.7867,0.805,pyroom,ceiling_perforated_gypsum_board,0.45,0.55,0.6,0.9,0.86,0.75,0.0
ceiling_melamine_foam,"wedge-shaped, melamine foam, ceiling tile",Ceiling,foam_absorber,ceiling,foam_absorber,highly_absorptive,0.9267,0.965,pyroom,ceiling_melamine_foam,0.12,0.33,0.83,0.97,0.98,0.95,0.0
ceiling_metal_panel,"metal panel ceiling, backed by 20 mm Sillan acoustic tiles, panel width 85 mm, panel spacing 15 mm, cavity 35 cm",Ceiling,acoustic_ceiling_panel,ceiling,acoustic_ceiling_panel,absorptive,0.58,0.25,pyroom,ceiling_metal_panel,0.59,0.8,0.82,0.65,0.27,0.23,0.0
microperforated_foil_kaefer,microperforated foil “Microsorber” (Kaefer),Acoustic Treatment,perforated_panel_absorber,acoustic_treatment,perforated_panel_absorber,highly_absorptive,0.7067,0.635,pyroom,microperforated_foil_kaefer,0.06,0.28,0.7,0.68,0.74,0.53,0.0
microperforated_glass_sheets,"microperforated glass sheets, 5 mm cavity",Acoustic Treatment,perforated_panel_absorber,acoustic_treatment,perforated_panel_absorber,absorptive,0.4167,0.075,pyroom,microperforated_glass_sheets,0.1,0.45,0.85,0.3,0.1,0.05,0.0
hanging_absorber_panels_1,"hanging absorber panels (foam), 400 mm depth, 400 mm distance",Acoustic Treatment,foam_absorber,acoustic_treatment,foam_absorber,highly_absorptive,0.85,0.825,pyroom,hanging_absorber_panels_1,0.25,0.45,0.8,0.9,0.85,0.8,0.0
hanging_absorber_panels_2,"hanging absorber panels (foam), 400 mm depth, 700 mm distance",Acoustic Treatment,foam_absorber,acoustic_treatment,foam_absorber,highly_absorptive,0.6833,0.7,pyroom,hanging_absorber_panels_2,0.2,0.3,0.6,0.75,0.7,0.7,0.0
floor_carpet,Carpet,Floor,carpet_floor_absorber,floor,carpet_floor_absorber,semi_reflective,0.1533,0.35,acoustic_supplies,Carpet,0.01,0.02,0.06,0.15,0.25,0.45,0.0
floor_concrete_unpainted_rough_finish,"Concrete, unpainted rough finish",Floor,carpet_floor_absorber,floor,carpet_floor_absorber,reflective,0.06,0.09,acoustic_supplies,"Concrete (unpainted, rough finish)",0.01,0.02,0.04,0.06,0.08,0.1,0.0
floor_concrete_sealed_or_painted,"Concrete, sealed or painted",Floor,carpet_floor_absorber,floor,carpet_floor_absorber,reflective,0.02,0.02,acoustic_supplies,Concrete (sealed or painted),0.01,0.01,0.02,0.02,0.02,0.02,0.0
floor_marble_or_glazed_tile,Marble or glazed tile,Floor,carpet_floor_absorber,floor,carpet_floor_absorber,reflective,0.0133,0.02,acoustic_supplies,Marble or glazed tile,0.01,0.01,0.01,0.01,0.02,0.02,0.0
floor_vinyl_tile_or_linoleum_on_concrete,Vinyl tile or linoleum on concrete,Floor,carpet_floor_absorber,floor,carpet_floor_absorber,reflective,0.03,0.025,acoustic_supplies,Vinyl tile or linoleum on concrete,0.02,0.03,0.03,0.03,0.03,0.02,0.0
floor_wood_parquet_on_concrete,Wood parquet on concrete,Floor,carpet_floor_absorber,floor,carpet_floor_absorber,reflective,0.0633,0.065,acoustic_supplies,Wood parquet on concrete,0.04,0.04,0.07,0.06,0.06,0.07,0.0
floor_wood_flooring_on_joists,Wood flooring on joists,Floor,carpet_floor_absorber,floor,carpet_floor_absorber,reflective,0.0767,0.065,acoustic_supplies,Wood flooring on joists,0.15,0.11,0.1,0.07,0.06,0.07,0.0
seating_benches_wooden_empty,"Benches, wooden, empty",Floor,carpet_floor_absorber,floor,carpet_floor_absorber,reflective,0.08,0.08,acoustic_supplies,"Benches (wooden, empty)",0.1,0.09,0.08,0.08,0.08,0.08,0.0
seating_benches_wooden_two_thirds_occupied,"Benches, wooden, two thirds occupied",Human & Crowd,human_audience_absorber,human_audience,human_audience_absorber,absorptive,0.52,0.545,acoustic_supplies,"Benches (wooden, 2/3 occupied)",0.37,0.4,0.47,0.53,0.56,0.53,0.0
seating_benches_wooden_fully_occupied,"Benches, wooden, fully occupied",Human & Crowd,human_audience_absorber,human_audience,human_audience_absorber,highly_absorptive,0.74,0.78,acoustic_supplies,"Benches (wooden, fully occupied)",0.5,0.56,0.66,0.76,0.8,0.76,0.0
seating_benches_cushioned_seats_and_backs_empty,"Benches, cushioned seats and backs, empty",Floor,carpet_floor_absorber,floor,carpet_floor_absorber,absorptive,0.43,0.455,acoustic_supplies,"Benches (cushioned seats & backs, empty)",0.32,0.4,0.42,0.44,0.43,0.48,0.0
seating_benches_cushioned_seats_and_backs_two_thirds_occupied,"Benches, cushioned seats and backs, two thirds occupied",Human & Crowd,human_audience_absorber,human_audience,human_audience_absorber,highly_absorptive,0.6967,0.695,acoustic_supplies,"Benches (cushioned seats & backs, 2/3 occupied)",0.44,0.56,0.65,0.72,0.72,0.67,0.0
seating_benches_cushioned_seats_and_backs_fully_occupied,"Benches, cushioned seats and backs, fully occupied",Human & Crowd,human_audience_absorber,human_audience,human_audience_absorber,highly_absorptive,0.8267,0.81,acoustic_supplies,"Benches (cushioned seats & backs, fully occupied)",0.5,0.64,0.76,0.86,0.86,0.76,0.0
seating_theatre_seats_wood_empty,"Theatre seats, wood, empty",Floor,carpet_floor_absorber,floor,carpet_floor_absorber,reflective,0.0667,0.08,acoustic_supplies,"Theatre seats (wood, empty)",0.03,0.04,0.05,0.07,0.08,0.08,0.0
seating_theatre_seats_wood_two_thirds_occupied,"Theatre seats, wood, two thirds occupied",Human & Crowd,human_audience_absorber,human_audience,human_audience_absorber,absorptive,0.4567,0.545,acoustic_supplies,"Theatre seats (wood, 2/3 occupied)",0.34,0.21,0.28,0.53,0.56,0.53,0.0
seating_theatre_seats_wood_fully_occupied,"Theatre seats, wood, fully occupied",Human & Crowd,human_audience_absorber,human_audience,human_audience_absorber,highly_absorptive,0.6533,0.78,acoustic_supplies,"Theatre seats (wood, fully occupied)",0.5,0.3,0.4,0.76,0.8,0.76,0.0
seating_seats_fabric_upholstered_empty,"Seats, fabric-upholstered, empty",Floor,carpet_floor_absorber,floor,carpet_floor_absorber,highly_absorptive,0.8333,0.76,acoustic_supplies,"Seats (fabric-upholstered, empty)",0.49,0.66,0.8,0.88,0.82,0.7,0.0
seating_seats_fabric_upholstered_fully_occupied,"Seats, fabric-upholstered, fully occupied",Human & Crowd,human_audience_absorber,human_audience,human_audience_absorber,highly_absorptive,0.9233,0.89,acoustic_supplies,"Seats (fabric-upholstered, fully occupied)",0.6,0.74,0.88,0.96,0.93,0.85,0.0
wall_brick_natural,"Brick, natural",Floor,carpet_floor_absorber,floor,carpet_floor_absorber,reflective,0.04,0.06,acoustic_supplies,Brick (natural),0.03,0.03,0.03,0.04,0.05,0.07,0.0
wall_brick_painted,"Brick, painted",Floor,carpet_floor_absorber,floor,carpet_floor_absorber,reflective,0.02,0.025,acoustic_supplies,Brick (painted),0.01,0.01,0.02,0.02,0.02,0.03,0.0
