index,room_count,area_m2,portal_count,connected,geometry_valid,split,relative_area_bin,absolute_area_bin
2465,11,143.39893295986414,10,True,True,validation,large,large_100_150
12914,11,154.5729544687825,11,True,True,validation,large,very_large_ge150
8714,11,169.73999059494986,11,True,True,validation,large,very_large_ge150
2314,12,101.34659622044043,11,True,True,validation,small,large_100_150
1063,12,104.7056336641949,13,True,True,validation,small,large_100_150
8138,12,115.29633493890792,11,True,True,validation,small,large_100_150
2629,12,122.84568959215302,12,True,True,validation,medium,large_100_150
7213,12,132.95997966815756,13,True,True,validation,medium,large_100_150
9082,12,135.8935397695246,12,True,True,validation,medium,large_100_150
12972,12,144.17055125389507,12,True,True,validation,large,large_100_150
11,12,155.01278014933067,12,True,True,validation,large,very_large_ge150
12986,12,159.6844797710402,12,True,True,validation,large,very_large_ge150
368,12,221.19717154877398,14,True,True,validation,large,very_large_ge150
1582,13,105.1798848312816,13,True,True,validation,small,large_100_150
3447,13,117.22322581385545,14,True,True,validation,small,large_100_150
14586,13,130.02807083086526,13,True,True,validation,small,large_100_150
7314,13,134.02153300035005,15,True,True,validation,small,large_100_150
3399,13,142.34267727935944,17,True,True,validation,medium,large_100_150
1037,13,153.94652028122493,13,True,True,validation,medium,very_large_ge150
12587,13,156.74228627231628,16,True,True,validation,medium,very_large_ge150
1405,13,168.9982024994236,15,True,True,validation,large,very_large_ge150
7662,13,173.9241198819925,14,True,True,validation,large,very_large_ge150
5794,13,222.66598699019727,14,True,True,validation,large,very_large_ge150
3410,14,123.10754061634893,14,True,True,validation,small,large_100_150
4747,14,129.3662309860246,15,True,True,validation,small,large_100_150
13148,14,144.65481986034303,13,True,True,validation,small,large_100_150
10411,14,153.03224528168457,15,True,True,validation,small,very_large_ge150
1001,14,164.16615837221588,17,True,True,validation,medium,very_large_ge150
13777,14,168.36565818554254,15,True,True,validation,medium,very_large_ge150
1245,14,171.87610744312607,15,True,True,validation,medium,very_large_ge150
13495,14,175.01430179826386,13,True,True,validation,large,very_large_ge150
8884,14,181.72165320097182,18,True,True,validation,large,very_large_ge150
3278,14,225.61675777430222,14,True,True,validation,large,very_large_ge150
